Place;Date;Page;Sector;Country Code;Year;Latitude;Longitude;Country;Region;Region District
Ábelová;1994-01-01;40;C;SK;1994;48,41157;19,43282;Slovakia;Banskobystrický kraj;okres Lučenec
Abertamy;;6;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Abovce;1994-01-01;51;B;SK;1994;48,3191673;20,3382988;Slovensko;Banskobystrický kraj;okres Rimavská Sobota
Abrahám;2025-08-16;47;A;SK;2025;48,2479831;17,6194193;Slovensko;Trnavský kraj;okres Galanta
Abramová;1994-01-01;39;A;SK;1994;48,9362901;18,79687;Slovensko;Žilinský kraj;okres Turčianske Teplice
Adamov;2001-06-16;21;D;CZ;2001;#N/A;#N/A;#N/A;#N/A;#N/A
Adolfovice;2022-04-15;12;D;CZ;2022;#N/A;#N/A;#N/A;#N/A;#N/A
Adršpach;2022-04-14;11;A;CZ;2022;#N/A;#N/A;#N/A;#N/A;#N/A
Albeř;;33;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Albrechtice;1994-01-01;24;B;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Albrechtice nad Orlicí;;11;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Albrechtice nad Vltavou;;18;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Albrechtice v Jizerských Horách;;4;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Albrechtičky;;24;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Alekšince;;47;B;SK;1899;48,3648941;17,9475515;Slovensko;Nitriansky kraj;okres Nitra
Andělská Hora (Bruntál);karlovice;13;C;CZ;#VALUE!;#N/A;#N/A;#N/A;#N/A;#N/A
Andělská Hora (Karlovy Vary);;6;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Andovce;2025-08-16;48;C;SK;2025;47,9950053;18,1042136;Slovensko;Nitriansky kraj;okres Nové Zámky
Andrejovka;2020-08-09;28;C;SK;2020;49,2869504;20,8978329;Slovensko;Prešovský kraj;okres Stará Ľubovňa
Annín;1995-08-02;17;C;CZ;1995;#N/A;#N/A;#N/A;#N/A;#N/A
Antol;1997-08-20;39;C;SK;1997;48,4221921;18,9414516;Slovensko;Banskobystrický kraj;okres Banská Štiavnica
Archlebov;;36;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Arnoltice;;2;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Aš;;5;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Báb;;47;B;SK;1899;48,3102873;17,8684044;Slovensko;Nitriansky kraj;okres Nitra
Babice (Olomouc);;22;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Babice (Praha-východ);;9;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Babice (Uherské Hradiště);;37;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Babice nad Svitavou;;22;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Babín (Dolný Kubín);1994-01-01;26;C;SK;1994;49,3326721;19,3829973;Slovensko;Žilinský kraj;okres Námestovo
Babín (Klatovy);;17;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Babiná;1994-01-01;39;D;SK;1994;48,4350789;19,0903462;Slovensko;Banskobystrický kraj;okres Zvolen
Babindol;2023-08-19;48;A;SK;2023;48,2882536;18,2394277;Slovensko;Nitriansky kraj;okres Nitra
Babkov;2021-07-27;24;D;SK;2021;49,1575816;18,6404143;Slovensko;Žilinský kraj;okres Žilina
Babylon;;16;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bacúch;1994-01-01;40;B;SK;1994;48,8558662;19,8061102;Slovensko;Banskobystrický kraj;okres Brezno
Báč;1994-01-01;47;A;SK;1994;48,0045275;17,377711;Slovensko;Trnavský kraj;okres Dunajská Streda
Bačetín;;11;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bačkov;;43;A;SK;1899;48,7392974;21,6243645;Slovensko;Košický kraj;okres Trebišov
Baďan;1997-08-20;49;A;SK;1997;48,3313769;18,8408068;Slovensko;Banskobystrický kraj;okres Banská Štiavnica
Badín;1994-01-01;39;D;SK;1994;48,6650207;19,1269549;Slovensko;Banskobystrický kraj;okres Banská Bystrica
Báhoň;1994-01-01;47;A;SK;1994;48,3086455;17,4453651;Slovensko;Bratislavský kraj;okres Pezinok
Bajč;1994-01-01;48;C;SK;1994;47,9235482;18,2081404;Slovensko;Nitriansky kraj;okres Komárno
Bajka;1994-01-01;48;B;SK;1994;48,1513064;18,5173881;Slovensko;Nitriansky kraj;okres Levice
